Time,Measurement
24-03-2022 23:00,0
25-03-2022 00:00,0
25-03-2022 01:00,0
25-03-2022 02:00,0
25-03-2022 03:00,0
25-03-2022 04:00,103220
25-03-2022 05:00,4339440
25-03-2022 06:00,18228610
25-03-2022 07:00,42006610
25-03-2022 08:00,60166210
25-03-2022 09:00,70893540
25-03-2022 10:00,75135420
25-03-2022 11:00,75104280
25-03-2022 12:00,62509410
25-03-2022 13:00,44660020
25-03-2022 14:00,31647370
25-03-2022 15:00,12379800
25-03-2022 16:00,3126330
25-03-2022 17:00,390680
25-03-2022 18:00,0
25-03-2022 19:00,0
25-03-2022 20:00,0
25-03-2022 21:00,0
25-03-2022 22:00,0
25-03-2022 23:00,0
26-03-2022 00:00,0
26-03-2022 01:00,0
26-03-2022 02:00,0
26-03-2022 03:00,0
26-03-2022 04:00,18970
26-03-2022 05:00,1986430
26-03-2022 06:00,10896940
26-03-2022 07:00,23265540
26-03-2022 08:00,31406640
26-03-2022 09:00,43019150
26-03-2022 10:00,76103620
26-03-2022 11:00,79879870
26-03-2022 12:00,71278090
26-03-2022 13:00,47303450
26-03-2022 14:00,32807840
26-03-2022 15:00,12948070
26-03-2022 16:00,2830340
26-03-2022 17:00,320420
26-03-2022 18:00,0
26-03-2022 19:00,0
26-03-2022 20:00,0
26-03-2022 21:00,0
26-03-2022 22:00,0
26-03-2022 23:00,0
27-03-2022 00:00,0
27-03-2022 01:00,0
27-03-2022 02:00,0
27-03-2022 03:00,0
27-03-2022 04:00,84840
27-03-2022 05:00,4960480
27-03-2022 06:00,11782970
27-03-2022 07:00,18420280
27-03-2022 08:00,30636810
27-03-2022 09:00,66536170
27-03-2022 10:00,57069670
27-03-2022 11:00,54039020
27-03-2022 12:00,62706370
27-03-2022 13:00,48249490
27-03-2022 14:00,33108070
27-03-2022 15:00,14657460
27-03-2022 16:00,3383370
27-03-2022 17:00,346520
27-03-2022 18:00,0
27-03-2022 19:00,0
27-03-2022 20:00,0
27-03-2022 21:00,0
27-03-2022 22:00,0
27-03-2022 23:00,0
28-03-2022 00:00,0
28-03-2022 01:00,0
28-03-2022 02:00,0
28-03-2022 03:00,0
28-03-2022 04:00,17640
28-03-2022 05:00,900390
28-03-2022 06:00,4387090
28-03-2022 07:00,7754500
28-03-2022 08:00,12152280
28-03-2022 09:00,26345660
28-03-2022 10:00,58790260
28-03-2022 11:00,77823940
28-03-2022 12:00,72346700
28-03-2022 13:00,50009680
28-03-2022 14:00,34044820
28-03-2022 15:00,13547240
28-03-2022 16:00,3414980
28-03-2022 17:00,419970
28-03-2022 18:00,0
28-03-2022 19:00,0
28-03-2022 20:00,0
28-03-2022 21:00,0
28-03-2022 22:00,0
28-03-2022 23:00,0
29-03-2022 00:00,0
29-03-2022 01:00,0
29-03-2022 02:00,0
29-03-2022 03:00,0
29-03-2022 04:00,146440
29-03-2022 05:00,4190320
29-03-2022 06:00,15902500
29-03-2022 07:00,30037250
29-03-2022 08:00,40763350
29-03-2022 09:00,53319260
29-03-2022 10:00,45265090
29-03-2022 11:00,52134580
29-03-2022 12:00,23885660
29-03-2022 13:00,15898890
29-03-2022 14:00,18287800
29-03-2022 15:00,8064530
29-03-2022 16:00,4570860
29-03-2022 17:00,324510
29-03-2022 18:00,0
29-03-2022 19:00,0
29-03-2022 20:00,0
29-03-2022 21:00,0
29-03-2022 22:00,0
29-03-2022 23:00,0
30-03-2022 00:00,0
30-03-2022 01:00,0
30-03-2022 02:00,0
30-03-2022 03:00,0
30-03-2022 04:00,146960
30-03-2022 05:00,2913600
30-03-2022 06:00,29922280
30-03-2022 07:00,38752880
30-03-2022 08:00,28150710
30-03-2022 09:00,8739370
30-03-2022 10:00,13050630
30-03-2022 11:00,23230080
30-03-2022 12:00,25454100
30-03-2022 13:00,23698220
30-03-2022 14:00,17184150
30-03-2022 15:00,14079050
30-03-2022 16:00,3602390
30-03-2022 17:00,427910
30-03-2022 18:00,0
30-03-2022 19:00,0
30-03-2022 20:00,0
30-03-2022 21:00,0
30-03-2022 22:00,0
30-03-2022 23:00,0
31-03-2022 00:00,0
31-03-2022 01:00,0
31-03-2022 02:00,0
31-03-2022 03:00,0
31-03-2022 04:00,468230
31-03-2022 05:00,9291650
31-03-2022 06:00,33158640
31-03-2022 07:00,52362240
31-03-2022 08:00,69255740
31-03-2022 09:00,80007300
31-03-2022 10:00,74526020
31-03-2022 11:00,67892970
31-03-2022 12:00,79120340
31-03-2022 13:00,53720100
31-03-2022 14:00,37640080
31-03-2022 15:00,15806230
31-03-2022 16:00,4081610
31-03-2022 17:00,459200
31-03-2022 18:00,0
31-03-2022 19:00,0
31-03-2022 20:00,0
31-03-2022 21:00,0
31-03-2022 22:00,0
31-03-2022 23:00,0
01-04-2022 00:00,0
01-04-2022 01:00,0
01-04-2022 02:00,0
01-04-2022 03:00,0
01-04-2022 04:00,343580
01-04-2022 05:00,3677090
01-04-2022 06:00,13653260
01-04-2022 07:00,28803430
01-04-2022 08:00,15511790
01-04-2022 09:00,62168370
01-04-2022 10:00,38190850
01-04-2022 11:00,64396130
01-04-2022 12:00,35920740
01-04-2022 13:00,28104580
01-04-2022 14:00,27897430
01-04-2022 15:00,14819530
01-04-2022 16:00,6252960
01-04-2022 17:00,621930
01-04-2022 18:00,0
01-04-2022 19:00,0
01-04-2022 20:00,0
01-04-2022 21:00,0
01-04-2022 22:00,0
01-04-2022 23:00,0
02-04-2022 00:00,0
02-04-2022 01:00,0
02-04-2022 02:00,0
02-04-2022 03:00,0
02-04-2022 04:00,136390
02-04-2022 05:00,3341660
02-04-2022 06:00,16296110
02-04-2022 07:00,36860420
02-04-2022 08:00,36361470
02-04-2022 09:00,56642310
02-04-2022 10:00,59657200
02-04-2022 11:00,53778130
02-04-2022 12:00,64649270
02-04-2022 13:00,45989590
02-04-2022 14:00,37228010
02-04-2022 15:00,16454150
02-04-2022 16:00,3506750
02-04-2022 17:00,525960
02-04-2022 18:00,0
02-04-2022 19:00,0
02-04-2022 20:00,0
02-04-2022 21:00,0
02-04-2022 22:00,0
02-04-2022 23:00,0
03-04-2022 00:00,0
03-04-2022 01:00,0
03-04-2022 02:00,0
03-04-2022 03:00,0
03-04-2022 04:00,656780
03-04-2022 05:00,11057900
03-04-2022 06:00,34203010
03-04-2022 07:00,56971630
03-04-2022 08:00,61426190
03-04-2022 09:00,76269640
03-04-2022 10:00,84578630
03-04-2022 11:00,87071650
03-04-2022 12:00,77142370
03-04-2022 13:00,52416730
03-04-2022 14:00,37899740
03-04-2022 15:00,12653930
03-04-2022 16:00,4848480
03-04-2022 17:00,493240
03-04-2022 18:00,0
03-04-2022 19:00,0
03-04-2022 20:00,0
03-04-2022 21:00,0
03-04-2022 22:00,0
03-04-2022 23:00,0
04-04-2022 00:00,0
04-04-2022 01:00,0
04-04-2022 02:00,0
04-04-2022 03:00,0
04-04-2022 04:00,115440
04-04-2022 05:00,1850350
04-04-2022 06:00,6402370
04-04-2022 07:00,13543310
04-04-2022 08:00,14089390
04-04-2022 09:00,17365700
04-04-2022 10:00,10874300
04-04-2022 11:00,7518010
04-04-2022 12:00,4130970
04-04-2022 13:00,3286550
04-04-2022 14:00,3002990
04-04-2022 15:00,3352250
04-04-2022 16:00,1306580
04-04-2022 17:00,79760
04-04-2022 18:00,0
04-04-2022 19:00,0
04-04-2022 20:00,0
04-04-2022 21:00,0
04-04-2022 22:00,0
04-04-2022 23:00,0
05-04-2022 00:00,0
05-04-2022 01:00,0
05-04-2022 02:00,0
05-04-2022 03:00,0
05-04-2022 04:00,895080
05-04-2022 05:00,5881870
05-04-2022 06:00,9860900
05-04-2022 07:00,19460810
05-04-2022 08:00,55874280
05-04-2022 09:00,32986980
05-04-2022 10:00,68314530
05-04-2022 11:00,87303450
05-04-2022 12:00,81103940
05-04-2022 13:00,55028700
05-04-2022 14:00,38572080
05-04-2022 15:00,16815350
05-04-2022 16:00,4985970
05-04-2022 17:00,851620
05-04-2022 18:00,0
05-04-2022 19:00,0
05-04-2022 20:00,0
05-04-2022 21:00,0
05-04-2022 22:00,0
05-04-2022 23:00,0
06-04-2022 00:00,0
06-04-2022 01:00,0
06-04-2022 02:00,0
06-04-2022 03:00,0
06-04-2022 04:00,347820
06-04-2022 05:00,1727450
06-04-2022 06:00,2894900
06-04-2022 07:00,8525190
06-04-2022 08:00,11167840
06-04-2022 09:00,8765910
06-04-2022 10:00,6327420
06-04-2022 11:00,8500830
06-04-2022 12:00,11940890
06-04-2022 13:00,7485590
06-04-2022 14:00,7561680
06-04-2022 15:00,4696340
06-04-2022 16:00,1272630
06-04-2022 17:00,119290
06-04-2022 18:00,0
06-04-2022 19:00,0
06-04-2022 20:00,0
06-04-2022 21:00,0
06-04-2022 22:00,0
06-04-2022 23:00,0
07-04-2022 00:00,0
07-04-2022 01:00,0
07-04-2022 02:00,0
07-04-2022 03:00,0
07-04-2022 04:00,331680
07-04-2022 05:00,3308600
07-04-2022 06:00,7009280
07-04-2022 07:00,11906770
07-04-2022 08:00,27148000
07-04-2022 09:00,52601730
07-04-2022 10:00,41432820
07-04-2022 11:00,12317160
07-04-2022 12:00,8352620
07-04-2022 13:00,7706700
07-04-2022 14:00,4593570
07-04-2022 15:00,8348160
07-04-2022 16:00,5066510
07-04-2022 17:00,1012160
07-04-2022 18:00,0
07-04-2022 19:00,0
07-04-2022 20:00,0
07-04-2022 21:00,0
07-04-2022 22:00,0
07-04-2022 23:00,0
08-04-2022 00:00,0
08-04-2022 01:00,0
08-04-2022 02:00,0
08-04-2022 03:00,0
08-04-2022 04:00,564490
08-04-2022 05:00,5171210
08-04-2022 06:00,20628460
08-04-2022 07:00,55615040
08-04-2022 08:00,60742990
08-04-2022 09:00,84281090
08-04-2022 10:00,87722880
08-04-2022 11:00,83169130
08-04-2022 12:00,23606880
08-04-2022 13:00,31205820
08-04-2022 14:00,24319180
08-04-2022 15:00,10921540
08-04-2022 16:00,4464950
08-04-2022 17:00,1387220
08-04-2022 18:00,10
08-04-2022 19:00,0
08-04-2022 20:00,0
08-04-2022 21:00,0
08-04-2022 22:00,0
08-04-2022 23:00,0
09-04-2022 00:00,0
09-04-2022 01:00,0
09-04-2022 02:00,0
09-04-2022 03:00,0
09-04-2022 04:00,1340700
09-04-2022 05:00,6700800
09-04-2022 06:00,22381870
09-04-2022 07:00,51245490
09-04-2022 08:00,66553860
09-04-2022 09:00,71198650
09-04-2022 10:00,83814540
09-04-2022 11:00,90088470
09-04-2022 12:00,82070900
09-04-2022 13:00,55641940
09-04-2022 14:00,39235430
09-04-2022 15:00,18829820
09-04-2022 16:00,5346830
09-04-2022 17:00,1149100
09-04-2022 18:00,980
09-04-2022 19:00,0
09-04-2022 20:00,0
09-04-2022 21:00,0
09-04-2022 22:00,0
09-04-2022 23:00,0
10-04-2022 00:00,0
10-04-2022 01:00,0
10-04-2022 02:00,0
10-04-2022 03:00,0
10-04-2022 04:00,674460
10-04-2022 05:00,4384500
10-04-2022 06:00,11877680
10-04-2022 07:00,11435990
10-04-2022 08:00,24852710
10-04-2022 09:00,32941090
10-04-2022 10:00,37610320
10-04-2022 11:00,49014970
10-04-2022 12:00,64667010
10-04-2022 13:00,56932190
10-04-2022 14:00,42110280
10-04-2022 15:00,17455960
10-04-2022 16:00,4676900
10-04-2022 17:00,1243610
10-04-2022 18:00,1480
10-04-2022 19:00,0
10-04-2022 20:00,0
10-04-2022 21:00,0
10-04-2022 22:00,0
10-04-2022 23:00,0
11-04-2022 00:00,0
11-04-2022 01:00,0
11-04-2022 02:00,0
11-04-2022 03:00,10
11-04-2022 04:00,1597840
11-04-2022 05:00,8873040
11-04-2022 06:00,18073920
11-04-2022 07:00,48407110
11-04-2022 08:00,19629120
11-04-2022 09:00,25821550
11-04-2022 10:00,32849600
11-04-2022 11:00,71221660
11-04-2022 12:00,80050330
11-04-2022 13:00,56547280
11-04-2022 14:00,39852490
11-04-2022 15:00,19062920
11-04-2022 16:00,4782040
11-04-2022 17:00,1139740
11-04-2022 18:00,3030
11-04-2022 19:00,0
11-04-2022 20:00,0
11-04-2022 21:00,0
11-04-2022 22:00,0
11-04-2022 23:00,0
12-04-2022 00:00,0
12-04-2022 01:00,0
12-04-2022 02:00,0
12-04-2022 03:00,10290
12-04-2022 04:00,2640520
12-04-2022 05:00,18330580
12-04-2022 06:00,39174310
12-04-2022 07:00,58564780
12-04-2022 08:00,71207360
12-04-2022 09:00,79484800
12-04-2022 10:00,86999080
12-04-2022 11:00,77200630
12-04-2022 12:00,73567860
12-04-2022 13:00,49579280
12-04-2022 14:00,36829310
12-04-2022 15:00,16104810
12-04-2022 16:00,7212170
12-04-2022 17:00,1306610
12-04-2022 18:00,1260
12-04-2022 19:00,0
12-04-2022 20:00,0
12-04-2022 21:00,0
12-04-2022 22:00,0
12-04-2022 23:00,0
13-04-2022 00:00,0
13-04-2022 01:00,0
13-04-2022 02:00,0
13-04-2022 03:00,1430
13-04-2022 04:00,1231280
13-04-2022 05:00,4678560
13-04-2022 06:00,28833290
13-04-2022 07:00,46852150
13-04-2022 08:00,58678220
13-04-2022 09:00,57145210
13-04-2022 10:00,56281270
13-04-2022 11:00,53780620
13-04-2022 12:00,64400840
13-04-2022 13:00,40638430
13-04-2022 14:00,31636320
13-04-2022 15:00,10270100
13-04-2022 22:00,0
13-04-2022 23:00,0
14-04-2022 00:00,0
14-04-2022 01:00,0
14-04-2022 02:00,0
14-04-2022 03:00,0
14-04-2022 04:00,232540
14-04-2022 05:00,2846560
14-04-2022 06:00,9628950
14-04-2022 07:00,15684210
14-04-2022 08:00,20723380
14-04-2022 09:00,22088650
14-04-2022 10:00,14575150
14-04-2022 11:00,15239530
14-04-2022 12:00,12945260
14-04-2022 13:00,8881090
14-04-2022 14:00,8870150
14-04-2022 15:00,10760620
14-04-2022 16:00,4395880
14-04-2022 17:00,890310
14-04-2022 18:00,0
14-04-2022 19:00,0
14-04-2022 20:00,0
14-04-2022 21:00,0
14-04-2022 22:00,0
14-04-2022 23:00,0
15-04-2022 00:00,0
15-04-2022 01:00,0
15-04-2022 02:00,0
15-04-2022 03:00,0
15-04-2022 04:00,165540
15-04-2022 05:00,1781130
15-04-2022 06:00,3659500
15-04-2022 07:00,6839070
15-04-2022 08:00,9124240
15-04-2022 09:00,9366760
15-04-2022 10:00,17760050
15-04-2022 11:00,15056340
15-04-2022 12:00,20164060
15-04-2022 13:00,41517940
15-04-2022 14:00,37495050
15-04-2022 15:00,15109360
15-04-2022 22:00,0
15-04-2022 23:00,0
16-04-2022 00:00,0
16-04-2022 01:00,0
16-04-2022 02:00,0
16-04-2022 03:00,45520
16-04-2022 04:00,3302270
16-04-2022 05:00,19317330
16-04-2022 06:00,42049770
16-04-2022 07:00,63557860
16-04-2022 08:00,76666850
16-04-2022 09:00,87379100
16-04-2022 10:00,89701010
16-04-2022 11:00,88228330
16-04-2022 12:00,77454970
16-04-2022 13:00,56607340
16-04-2022 14:00,39790810
16-04-2022 15:00,20681550
16-04-2022 16:00,7110720
16-04-2022 17:00,2942080
16-04-2022 18:00,41270
16-04-2022 19:00,0
16-04-2022 20:00,0
16-04-2022 21:00,0
16-04-2022 22:00,0
16-04-2022 23:00,0
17-04-2022 00:00,0
17-04-2022 01:00,0
17-04-2022 02:00,0
17-04-2022 03:00,18560
17-04-2022 04:00,3002710
17-04-2022 05:00,11473870
17-04-2022 06:00,17507770
17-04-2022 07:00,52143300
17-04-2022 08:00,78709190
17-04-2022 09:00,88330100
17-04-2022 10:00,91625620
17-04-2022 11:00,88154460
17-04-2022 12:00,79458990
17-04-2022 13:00,57868530
17-04-2022 14:00,40279470
17-04-2022 15:00,21557520
17-04-2022 16:00,7632620
17-04-2022 17:00,1769640
17-04-2022 18:00,55310
17-04-2022 19:00,0
17-04-2022 20:00,0
17-04-2022 21:00,0
17-04-2022 22:00,0
17-04-2022 23:00,0
18-04-2022 00:00,0
18-04-2022 01:00,0
18-04-2022 02:00,0
18-04-2022 03:00,83710
18-04-2022 04:00,3660250
18-04-2022 05:00,20013710
18-04-2022 06:00,40761350
18-04-2022 07:00,60578220
18-04-2022 08:00,74804880
18-04-2022 09:00,85757540
18-04-2022 10:00,88085990
18-04-2022 11:00,80179950
18-04-2022 12:00,75175540
18-04-2022 13:00,56881090
18-04-2022 14:00,38765040
18-04-2022 15:00,20116910
18-04-2022 16:00,6454040
18-04-2022 17:00,1599360
18-04-2022 18:00,55480
18-04-2022 19:00,0
18-04-2022 20:00,0
